dataset,model_a,model_b,cka_score,mean_cosine_sim,procrustes_distance,dim_a,dim_b
wine,tabpfn,tabicl_icl_last_block,0.8490546905767953,0.45700803399086,0.5321851968765259,192,512
wine,tabpfn,tabicl_row_output,0.5259982003518585,-0.23514117300510406,0.7809237241744995,192,128
wine,tabpfn_final_probs,tabpfn_last_transformer_layer,0.5810054175029441,0.020885493606328964,0.755688488483429,2,192
wine,tabpfn_final_probs,tabicl,0.5061952203865455,0.1376165896654129,0.8530338406562805,2,512
wine,tabpfn_final_probs,tabicl_final_probs,0.7176737666783793,0.994918704032898,0.5528613328933716,2,2
wine,tabpfn_final_probs,tabicl_icl_last_block,0.5061952203865455,0.1376165896654129,0.8530338406562805,2,512
wine,tabpfn_final_probs,tabicl_row_output,0.3630461311912318,0.090805284678936,0.993871808052063,2,128
wine,tabpfn_last_transformer_layer,tabicl,0.8490546905767953,0.45700803399086,0.5321851968765259,192,512
wine,tabpfn_last_transformer_layer,tabicl_final_probs,0.3912275585370709,0.024573206901550293,0.9082233905792236,192,2
wine,tabpfn_last_transformer_layer,tabicl_icl_last_block,0.8490546905767953,0.45700803399086,0.5321851968765259,192,512
wine,tabpfn_last_transformer_layer,tabicl_row_output,0.5259982003518585,-0.23514117300510406,0.7809237241744995,192,128
wine,tabicl,tabicl_final_probs,0.44261763971989543,0.15081298351287842,0.9070793390274048,512,2
wine,tabicl,tabicl_icl_last_block,0.999999999996277,1.0,1.8083979782125125e-15,512,512
wine,tabicl,tabicl_row_output,0.6195896936231515,-0.18976432085037231,0.662333071231842,512,128
wine,tabicl_final_probs,tabicl_icl_last_block,0.44261763971989543,0.15081298351287842,0.9070793390274048,2,512
wine,tabicl_final_probs,tabicl_row_output,0.3681508767863315,0.07918914407491684,0.9883738160133362,2,128
wine,tabicl_icl_last_block,tabicl_row_output,0.6195896936231515,-0.18976432085037231,0.662333071231842,512,128
breast-cancer,tabpfn,tabpfn_final_probs,0.8395765001611104,-0.2778873145580292,0.6162658333778381,192,2
breast-cancer,tabpfn,tabpfn_last_transformer_layer,0.9999999876791338,1.0,3.3933020781272416e-14,192,192
breast-cancer,tabpfn,tabicl,0.5367505218887394,0.20040220022201538,0.809493899345398,192,512
breast-cancer,tabpfn,tabicl_final_probs,0.7361223734550139,-0.28355881571769714,0.6968184113502502,192,2
breast-cancer,tabpfn,tabicl_icl_last_block,0.5367505218887394,0.20040220022201538,0.809493899345398,192,512
breast-cancer,tabpfn,tabicl_row_output,0.3806172539538753,0.11390264332294464,0.9526684880256653,192,128
breast-cancer,tabpfn_final_probs,tabpfn_last_transformer_layer,0.8395765001611104,-0.2778873145580292,0.6162658333778381,2,192
breast-cancer,tabpfn_final_probs,tabicl,0.49360161173740147,-0.16975583136081696,0.9280688762664795,2,512
breast-cancer,tabpfn_final_probs,tabicl_final_probs,0.9047974632081937,0.9953681826591492,0.31237709522247314,2,2
breast-cancer,tabpfn_final_probs,tabicl_icl_last_block,0.49360161173740147,-0.16975583136081696,0.9280688762664795,2,512
breast-cancer,tabpfn_final_probs,tabicl_row_output,0.3428428822229471,-0.10349801182746887,0.9739617705345154,2,128
breast-cancer,tabpfn_last_transformer_layer,tabicl,0.5367505218887394,0.20040220022201538,0.809493899345398,192,512
breast-cancer,tabpfn_last_transformer_layer,tabicl_final_probs,0.7361223734550139,-0.28355881571769714,0.6968184113502502,192,2
breast-cancer,tabpfn_last_transformer_layer,tabicl_icl_last_block,0.5367505218887394,0.20040220022201538,0.809493899345398,192,512
breast-cancer,tabpfn_last_transformer_layer,tabicl_row_output,0.3806172539538753,0.11390264332294464,0.9526684880256653,192,128
breast-cancer,tabicl,tabicl_final_probs,0.49872715802250206,-0.18996062874794006,0.9373136162757874,512,2
breast-cancer,tabicl,tabicl_icl_last_block,0.9999999999927988,1.0,2.586926288824674e-15,512,512
breast-cancer,tabicl,tabicl_row_output,0.5011318698851107,0.22902487218379974,0.8076276779174805,512,128
breast-cancer,tabicl_final_probs,tabicl_icl_last_block,0.4987271580225021,-0.18996062874794006,0.9373136162757874,2,512
