dataset,model_a,model_b,dim_a,dim_b,cka_score,mean_cosine_sim,procrustes_distance
tabarena_Bioresponse,mitra,tabpfn,512,192,0.6926925787257059,0.44519591331481934,0.6647142171859741
tabarena_Diabetes130US,mitra,tabpfn,512,192,0.457854082305908,0.18045152723789215,0.8415130376815796
tabarena_E-CommereShippingData,mitra,tabpfn,512,192,0.9598644735221686,0.7560482025146484,0.31225651502609253
tabarena_Fitness_Club,mitra,tabpfn,512,192,0.9181508130119187,0.7461258172988892,0.35245051980018616
tabarena_GiveMeSomeCredit,mitra,tabpfn,512,192,0.8899178518335392,0.6374629735946655,0.5120611190795898
tabarena_HR_Analytics_Job_Change_of_Data_Scientists,mitra,tabpfn,512,192,0.8592190546589269,0.2635551989078522,0.49921438097953796
tabarena_Is-this-a-good-customer,mitra,tabpfn,512,192,0.8757848794612841,0.5422670245170593,0.551903486251831
tabarena_MIC,mitra,tabpfn,512,192,0.8558112742998009,0.4853232204914093,0.5602930784225464
tabarena_Marketing_Campaign,mitra,tabpfn,512,192,0.8178083769923817,0.2056259661912918,0.5311713814735413
tabarena_NATICUSdroid,mitra,tabpfn,512,192,0.9206269011129187,0.6966748237609863,0.4507923126220703
tabarena_QSAR_fish_toxicity,mitra,tabpfn,512,192,0.7379214183328885,0.045085638761520386,0.6621180176734924
tabarena_SDSS17,mitra,tabpfn,512,192,0.8636082754287455,-0.08130622655153275,0.410784512758255
tabarena_anneal,mitra,tabpfn,512,192,0.8664816331381572,0.24191084504127502,0.46276187896728516
tabarena_bank-marketing,mitra,tabpfn,512,192,0.8896833317560938,-0.6916096210479736,0.43199673295021057
tabarena_blood-transfusion-service-center,mitra,tabpfn,512,192,0.9376938839641696,0.5108562707901001,0.3747847378253937
tabarena_churn,mitra,tabpfn,512,192,0.8201725107933365,0.4498578906059265,0.5224955677986145
tabarena_coil2000_insurance_policies,mitra,tabpfn,512,192,0.6412564769511835,0.4530266523361206,0.7447406649589539
tabarena_credit-g,mitra,tabpfn,512,192,0.8535134723663327,0.4403197765350342,0.5250210165977478
tabarena_credit_card_clients_default,mitra,tabpfn,512,192,0.855565243896849,0.4299403727054596,0.5171046853065491
tabarena_customer_satisfaction_in_airline,mitra,tabpfn,512,192,0.806638334358602,0.2555205225944519,0.5675252676010132
tabarena_diabetes,mitra,tabpfn,512,192,0.9422842002482961,0.6540253162384033,0.4013073146343231
tabarena_hazelnut-spread-contaminant-detection,mitra,tabpfn,512,192,0.9066809336923674,0.6547784209251404,0.49743109941482544
tabarena_heloc,mitra,tabpfn,512,192,0.9008215136985674,0.5666038990020752,0.44993042945861816
tabarena_hiva_agnostic,mitra,tabpfn,512,192,0.2770907159021175,0.05935914069414139,1.0090951919555664
tabarena_houses,mitra,tabpfn,512,192,0.8509254506773867,0.5123596787452698,0.5531184673309326
tabarena_in_vehicle_coupon_recommendation,mitra,tabpfn,512,192,0.7768994020828105,0.3399884104728699,0.6212130784988403
tabarena_jm1,mitra,tabpfn,512,192,0.887262661372478,0.6862725615501404,0.4351709187030792
tabarena_kddcup09_appetency,mitra,tabpfn,512,192,0.6037827995479348,0.3344995379447937,0.767480731010437
tabarena_maternal_health_risk,mitra,tabpfn,512,192,0.8298074410995802,0.5317832827568054,0.5357476472854614
tabarena_online_shoppers_intention,mitra,tabpfn,512,192,0.8485084460238577,0.5482333302497864,0.513600766658783
tabarena_polish_companies_bankruptcy,mitra,tabpfn,512,192,0.6705788008124621,-0.3704130947589874,0.6751752495765686
tabarena_qsar-biodeg,mitra,tabpfn,512,192,0.9088565399369988,0.258363276720047,0.466591477394104
tabarena_seismic-bumps,mitra,tabpfn,512,192,0.9409715251517905,0.6495596170425415,0.46043646335601807
tabarena_splice,mitra,tabpfn,512,192,0.7928901721422483,-0.08476205915212631,0.5075029134750366
tabarena_students_dropout_and_academic_success,mitra,tabpfn,512,192,0.8845378034924222,-0.3514108955860138,0.4719972014427185
tabarena_taiwanese_bankruptcy_prediction,mitra,tabpfn,512,192,0.7947194327247786,0.2932961583137512,0.5461885929107666
tabarena_website_phishing,mitra,tabpfn,512,192,0.934146264648263,0.5861732959747314,0.42402324080467224
tabarena_wine_quality,mitra,tabpfn,512,192,0.8327953092703142,0.3987802267074585,0.5852838158607483
tabarena_APSFailure,tabicl,tabpfn,512,192,0.8381337534522848,0.638052761554718,0.5206267833709717
tabarena_Amazon_employee_access,tabicl,tabpfn,512,192,0.44608921374311583,-0.14297932386398315,0.8429248929023743
tabarena_Bank_Customer_Churn,tabicl,tabpfn,512,192,0.7196373750608623,0.3579642176628113,0.6734828352928162
tabarena_Bioresponse,tabicl,tabpfn,512,192,0.6944028469938656,0.048603449016809464,0.6941442489624023
tabarena_Diabetes130US,tabicl,tabpfn,512,192,0.32045453496295045,0.21026645600795746,0.9609035849571228
tabarena_E-CommereShippingData,tabicl,tabpfn,512,192,0.9325674645710015,0.6820126175880432,0.36255717277526855
tabarena_Fitness_Club,tabicl,tabpfn,512,192,0.7661572705481173,0.49307894706726074,0.6107128262519836
tabarena_GiveMeSomeCredit,tabicl,tabpfn,512,192,0.9168037148353274,0.4808569848537445,0.508104681968689
tabarena_HR_Analytics_Job_Change_of_Data_Scientists,tabicl,tabpfn,512,192,0.6578071753545632,0.3918360471725464,0.6931524872779846
tabarena_Is-this-a-good-customer,tabicl,tabpfn,512,192,0.6607978736215288,0.2061515748500824,0.739173412322998
tabarena_MIC,tabicl,tabpfn,512,192,0.8060977379830359,0.16590063273906708,0.5809194445610046
tabarena_Marketing_Campaign,tabicl,tabpfn,512,192,0.3871710325551697,-0.2090422809123993,0.8574246764183044
tabarena_NATICUSdroid,tabicl,tabpfn,512,192,0.8548167802042917,0.5654482841491699,0.4814240336418152
tabarena_QSAR-TID-11,tabicl,tabpfn,512,192,0.46140666125241914,-0.0781639888882637,0.8545656800270081
tabarena_QSAR_fish_toxicity,tabicl,tabpfn,512,192,0.5822667921630308,0.09294497221708298,0.7027241587638855
tabarena_SDSS17,tabicl,tabpfn,512,192,0.7587088353935715,0.194209486246109,0.5301368832588196
tabarena_anneal,tabicl,tabpfn,512,192,0.6494678600388736,0.10448936372995377,0.57964688539505
tabarena_bank-marketing,tabicl,tabpfn,512,192,0.644039589303346,-0.28712567687034607,0.7654683589935303
tabarena_blood-transfusion-service-center,tabicl,tabpfn,512,192,0.638372945334301,0.4261928200721741,0.7289449572563171
tabarena_churn,tabicl,tabpfn,512,192,0.8417638984105514,0.5588193535804749,0.5411962866783142
tabarena_coil2000_insurance_policies,tabicl,tabpfn,512,192,0.7615294588792166,0.2751990258693695,0.6752245426177979
tabarena_credit-g,tabicl,tabpfn,512,192,0.648209551501289,0.3185034692287445,0.7237967848777771
tabarena_credit_card_clients_default,tabicl,tabpfn,512,192,0.5943698938243026,0.12792125344276428,0.6554945111274719
tabarena_customer_satisfaction_in_airline,tabicl,tabpfn,512,192,0.28248493679043524,-0.14278054237365723,0.87549889087677
tabarena_diabetes,tabicl,tabpfn,512,192,0.6050680725175067,0.24661849439144135,0.6793515086174011
tabarena_hazelnut-spread-contaminant-detection,tabicl,tabpfn,512,192,0.7287510569284773,0.45459499955177307,0.5855349898338318
tabarena_heloc,tabicl,tabpfn,512,192,0.35627284869218245,0.11399552971124649,0.8006696701049805
tabarena_hiva_agnostic,tabicl,tabpfn,512,192,0.25046882336379994,0.037474289536476135,0.9977367520332336
tabarena_houses,tabicl,tabpfn,512,192,0.8795506311942836,0.5963101983070374,0.5259885191917419
tabarena_in_vehicle_coupon_recommendation,tabicl,tabpfn,512,192,0.4281408513815285,-0.06939816474914551,0.820135235786438
tabarena_jm1,tabicl,tabpfn,512,192,0.7180582795430479,0.41912463307380676,0.6172963380813599
tabarena_kddcup09_appetency,tabicl,tabpfn,512,192,0.5939649197892664,0.3052748441696167,0.7975173592567444
tabarena_maternal_health_risk,tabicl,tabpfn,512,192,0.4910857434308058,-0.05232023075222969,0.7638994455337524
tabarena_online_shoppers_intention,tabicl,tabpfn,512,192,0.834312392639543,0.5593795776367188,0.5411157011985779
tabarena_polish_companies_bankruptcy,tabicl,tabpfn,512,192,0.7154076646215938,-0.4783360958099365,0.6648833751678467
tabarena_qsar-biodeg,tabicl,tabpfn,512,192,0.5525474241652742,-0.2031746655702591,0.7387377619743347
tabarena_seismic-bumps,tabicl,tabpfn,512,192,0.8903209146840806,0.5685076117515564,0.5575425028800964
tabarena_splice,tabicl,tabpfn,512,192,0.5483933763212312,0.3822110891342163,0.7419596910476685
tabarena_students_dropout_and_academic_success,tabicl,tabpfn,512,192,0.5453727126671793,0.05289542302489281,0.687764585018158
