dataset,model_a,model_b,dim_a,dim_b,cka_score,mean_cosine_sim,procrustes_distance
tabarena_polish_companies_bankruptcy,carte,mitra,300,512,0.4560475475880682,0.2608436346054077,0.9664121866226196
tabarena_qsar-biodeg,carte,mitra,300,512,0.6736484978038831,0.502597987651825,0.7400011420249939
tabarena_seismic-bumps,carte,mitra,300,512,0.8091411917900126,0.6416389346122742,0.6857423782348633
tabarena_splice,carte,mitra,300,512,0.20129090578070513,0.1601553112268448,1.0697858333587646
tabarena_students_dropout_and_academic_success,carte,mitra,300,512,0.23841616646036834,0.2130136936903,1.0606305599212646
tabarena_superconductivity,carte,mitra,300,512,0.39320546508817616,-0.4058026075363159,0.9313216805458069
tabarena_taiwanese_bankruptcy_prediction,carte,mitra,300,512,0.6666789519186276,0.5277324914932251,0.7615339159965515
tabarena_website_phishing,carte,mitra,300,512,0.5705387120866853,0.4932112395763397,0.8127713799476624
tabarena_wine_quality,carte,mitra,300,512,0.7404055150121676,0.5457862615585327,0.8287811279296875
tabarena_APSFailure,carte,tabdpt,300,768,0.3393683301101817,-0.12193230539560318,1.0426889657974243
tabarena_Amazon_employee_access,carte,tabdpt,300,768,0.15775995100689158,0.09917556494474411,1.235191822052002
tabarena_Another-Dataset-on-used-Fiat-500,carte,tabdpt,300,768,0.6393718864335936,0.5850261449813843,0.7915170788764954
tabarena_Bank_Customer_Churn,carte,tabdpt,300,768,0.398426089324157,-0.32580044865608215,0.9819955825805664
tabarena_Bioresponse,carte,tabdpt,300,768,0.1697019793853151,0.17010721564292908,1.145411729812622
tabarena_Diabetes130US,carte,tabdpt,300,768,0.35449345643457836,0.21779407560825348,1.1187607049942017
tabarena_E-CommereShippingData,carte,tabdpt,300,768,0.8154827898973714,0.4796595275402069,0.7260712385177612
tabarena_Fitness_Club,carte,tabdpt,300,768,0.6147255905269438,0.31611815094947815,0.8473482728004456
tabarena_Food_Delivery_Time,carte,tabdpt,300,768,0.15984929878831508,0.04640279710292816,1.1126757860183716
tabarena_GiveMeSomeCredit,carte,tabdpt,300,768,0.6510178266654001,0.44998252391815186,0.8495922088623047
tabarena_HR_Analytics_Job_Change_of_Data_Scientists,carte,tabdpt,300,768,0.6374731426819803,0.3810344636440277,0.892498791217804
tabarena_Is-this-a-good-customer,carte,tabdpt,300,768,0.4927951373920278,0.29951369762420654,1.0075100660324097
tabarena_MIC,carte,tabdpt,300,768,0.2881539759384667,0.15227803587913513,1.0371880531311035
tabarena_Marketing_Campaign,carte,tabdpt,300,768,0.25771954492888627,-0.22382891178131104,1.0824416875839233
tabarena_NATICUSdroid,carte,tabdpt,300,768,0.6293297489165383,0.39097920060157776,0.7695959806442261
