donor,feat,dataset,recipient,n_rows,row,a_start,a_final,suppression_frac,n_cols_changed,n_suppressors,n_repairs,ablate_x1e3,patch_x1e3,patch_columns
tabdpt,44,students_dropout_and_academic_success,mitra,7,84,2.6323001384735107,0.0,1.0,8,2,6,-40.3369665145874,-40.32015800476074,Curricular_units_2nd_sem_approved|Fathers_qualification|Gender|Curricular_units_1st_sem_approved|Admission_grade|Curricular_units_2nd_sem_without_evaluations|Unemployment_rate|Inflation_rate
tabdpt,44,GiveMeSomeCredit,mitra,4,78,1.7022278308868408,0.0,1.0,2,1,1,-1.1088848114013672,-1.1053085327148438,MonthlyIncome|NumberOfOpenCreditLinesAndLoans
tabdpt,46,kddcup09_appetency,mitra,6,23,4.5387678146362305,0.0,1.0,1,1,0,-2.094268798828125,-2.094268798828125,Var74
tabdpt,46,taiwanese_bankruptcy_prediction,tabicl,3,197,3.969204902648926,0.0,1.0,8,2,6,-3.2228827476501465,-3.0411481857299805,Total_Asset_Turnover|Net_Profit_Before_Tax_Per_Share|NoCredit_Interval|Equity_to_LongTerm_Liability|Cash_Flow_to_Equity|Operating_Profit_Growth_Rate|Current_Asset_Turnover_Rate|Allocation_Rate_Per_Person
tabdpt,50,GiveMeSomeCredit,mitra,22,110,3.0697827339172363,0.9129178524017334,0.7026115749772321,1,1,0,-42.469024658203125,-26.93796157836914,MonthlyIncome
tabdpt,50,seismic-bumps,mitra,20,191,1.224386215209961,0.0,1.0,3,1,2,-14.13804292678833,-14.13947343826294,shift|genergy|maxenergy
tabdpt,55,blood-transfusion-service-center,tabicl,3,44,7.219127178192139,0.0,1.0,2,1,1,-65.85890054702759,-44.6547269821167,TotalBloodDonated|NumberOfDonations
tabdpt,55,jm1,tabpfn,5,4,4.451306343078613,0.0,1.0,2,2,0,-3.018498420715332,-8.212804794311523,uniq_Op|uniq_Opnd
tabdpt,55,HR_Analytics_Job_Change_of_Data_Scientists,tabicl,2,41,1.814303994178772,0.0,1.0,2,1,1,-8.895337581634521,-8.895337581634521,company_type|training_hours
tabdpt,59,Bank_Customer_Churn,mitra,1,70,2.3874762058258057,0.0,1.0,4,4,0,2.4784207344055176,2.0899176597595215,balance|country|tenure|estimated_salary
tabdpt,59,Amazon_employee_access,mitra,9,35,1.576082706451416,0.0,1.0,2,2,0,1.566171646118164,1.566171646118164,ROLE_DEPTNAME|ROLE_TITLE
tabdpt,59,seismic-bumps,mitra,2,144,1.9414349794387817,0.0,1.0,4,1,3,10.962605476379395,11.238574981689453,seismic|gdpuls|energy|maxenergy
tabdpt,61,students_dropout_and_academic_success,mitra,2,114,1.5870764255523682,0.0,1.0,7,1,6,-83.15572142601013,-83.22373032569885,Daytimeevening_attendance|Age_at_enrollment|Displaced|Inflation_rate|Educational_special_needs|Previous_qualification_grade|GDP
tabdpt,61,HR_Analytics_Job_Change_of_Data_Scientists,mitra,2,41,1.9480173587799072,0.0,1.0,4,2,2,-6.329715251922607,3.1220316886901855,experience|company_type|last_new_job|city_development_index
tabdpt,61,SDSS17,mitra,1,127,2.125920057296753,0.0,1.0,5,4,1,-50.62789469957352,-50.627849996089935,i|z|redshift|g|alpha
tabdpt,62,taiwanese_bankruptcy_prediction,tabpfn,5,137,3.8090200424194336,0.0,1.0,6,1,5,-10.271072387695312,-10.271072387695312,Operating_Profit_Rate|Net_Value_Per_Share_B|Tax_Rate_A|ROA_C_Before_Interest_Depreciation|Total_Asset_Return_Growth_Rate|DFL
tabdpt,62,HR_Analytics_Job_Change_of_Data_Scientists,tabpfn,4,19,2.479959487915039,0.0,1.0,1,1,0,-0.3409385681152344,-1.258552074432373,education_level
tabdpt,64,HR_Analytics_Job_Change_of_Data_Scientists,tabicl,2,74,3.693744659423828,0.0,1.0,5,2,3,8.695125579833984,8.695125579833984,city|major_discipline|relevent_experience|training_hours|city_development_index
tabdpt,64,E-CommereShippingData,tabicl,4,55,3.3732476234436035,0.9272476434707642,0.7251172321217922,3,3,0,-18.09835433959961,-11.157035827636719,Prior_purchases|Warehouse_block|Product_importance
tabdpt,67,Amazon_employee_access,mitra,15,141,3.4426450729370117,0.0,1.0,2,2,0,-1.9984841346740723,-2.9096007347106934,ROLE_FAMILY_DESC|ROLE_ROLLUP_2
tabdpt,67,students_dropout_and_academic_success,tabpfn,11,183,4.373359680175781,0.0,1.0,7,6,1,-36.34589910507202,-36.34589910507202,Curricular_units_2nd_sem_evaluations|Unemployment_rate|Previous_qualification_grade|Age_at_enrollment|GDP|Inflation_rate|Admission_grade
tabdpt,67,HR_Analytics_Job_Change_of_Data_Scientists,tabicl,5,50,3.141343832015991,0.0,1.0,5,3,2,-54.37654256820679,-51.505446434020996,city_development_index|experience|city|enrolled_university|training_hours
tabdpt,674,Amazon_employee_access,mitra,2,39,1.3627405166625977,0.0,1.0,2,1,1,-3.962397575378418,-5.891025066375732,ROLE_TITLE|MGR_ID
tabdpt,70,Amazon_employee_access,tabpfn,13,173,2.216024398803711,0.0,1.0,5,1,4,-2.6041269302368164,-2.6336312294006348,ROLE_ROLLUP_1|RESOURCE|MGR_ID|ROLE_CODE|ROLE_FAMILY_DESC
tabdpt,70,hazelnut-spread-contaminant-detection,mitra,5,94,1.183092474937439,0.0,1.0,1,1,0,-13.665199279785156,-13.665199279785156,s42
tabdpt,70,students_dropout_and_academic_success,mitra,1,36,1.4522086381912231,0.0,1.0,8,1,7,-15.406131744384766,-15.1747465133667,Application_mode|Curricular_units_2nd_sem_evaluations|Educational_special_needs|Curricular_units_1st_sem_grade|GDP|Unemployment_rate|Inflation_rate|Admission_grade
tabdpt,71,students_dropout_and_academic_success,tabpfn,17,16,6.23475980758667,0.0,1.0,4,2,2,-2.606332302093506,-2.6749372482299805,Fathers_qualification|Curricular_units_1st_sem_without_evaluations|GDP|Educational_special_needs
tabdpt,71,seismic-bumps,mitra,14,51,1.2611126899719238,0.0,1.0,1,1,0,-4.052519798278809,-4.209756851196289,gpuls
tabdpt,71,jm1,mitra,11,31,1.720463514328003,0.0,1.0,3,1,2,-27.610599994659424,-27.60988473892212,lOCode|total_Op|d
tabdpt,73,website_phishing,mitra,4,29,4.275478839874268,0.0,1.0,2,2,0,-90.99507331848145,-90.99507331848145,popUpWidnow|SFH
tabdpt,73,hazelnut-spread-contaminant-detection,mitra,4,115,1.7984586954116821,0.0,1.0,9,2,7,33.629000186920166,33.63001346588135,s24|s62|s52|s51|s23|s36|s53|s42|s64
tabdpt,73,customer_satisfaction_in_airline,mitra,1,174,1.4382102489471436,0.0,1.0,1,1,0,8.384168148040771,9.68402624130249,ArrivalDelayinMinutes
tabdpt,8,polish_companies_bankruptcy,mitra,13,137,1.3498445749282837,0.0,1.0,5,1,4,-4.627346992492676,-4.627585411071777,receivables_turnover_ratio|gross_profit_plus_depreciation_to_total_liabilities|ebitda_to_total_assets|gross_profit_to_total_assets|current_assets_to_total_liabilities
tabdpt,8,kddcup09_appetency,mitra,7,34,2.0525457859039307,0.0,1.0,3,1,2,-1.842498779296875,-1.842498779296875,Var123|Var28|Var81
tabdpt,8,students_dropout_and_academic_success,mitra,6,172,1.2665293216705322,0.0,1.0,6,1,5,24.07616376876831,23.835748434066772,Previous_qualification_grade|Educational_special_needs|Curricular_units_2nd_sem_grade|GDP|Mothers_occupation|Unemployment_rate
tabdpt,85,Amazon_employee_access,mitra,25,77,1.019749402999878,0.0,1.0,1,1,0,-0.5132555961608887,-0.3610849380493164,ROLE_DEPTNAME
tabdpt,85,bank-marketing,tabpfn,10,170,5.042187213897705,0.0,1.0,4,1,3,-15.625,-12.034595012664795,previous|marital|balance|default
tabdpt,85,customer_satisfaction_in_airline,mitra,6,185,1.1265406608581543,0.0,1.0,5,1,4,-113.106369972229,-113.09647560119629,Gatelocation|Cleanliness|DepartureDelayinMinutes|FlightDistance|ArrivalDelayinMinutes
tabdpt,90,GiveMeSomeCredit,mitra,3,87,1.3383809328079224,0.0,1.0,6,1,5,-3.395974636077881,-3.4304261207580566,NumberRealEstateLoansOrLines|NumberOfTime60-89DaysPastDueNotWorse|RevolvingUtilizationOfUnsecuredLines|MonthlyIncome|age|DebtRatio
tabdpt,90,Bank_Customer_Churn,mitra,1,82,3.1567132472991943,0.0,1.0,2,2,0,2.1961331367492676,1.8649697303771973,age|balance
tabicl,100,hazelnut-spread-contaminant-detection,tabdpt,1,156,11.394983291625977,2.953603506088257,0.740797908123409,8,8,0,-0.3088712692260742,-0.3088712692260742,s53|s12|s62|s24|s64|s26|s56|s42
tabicl,100,in_vehicle_coupon_recommendation,tabpfn,1,126,5.843957424163818,2.036020278930664,0.6516024790817179,5,5,0,-152.19241380691528,-124.65125322341919,Restaurant20To50|CoffeeHouse|passenger|education|income
tabicl,100,anneal,tabdpt,5,69,4.074644565582275,0.0,1.0,4,4,0,-2.029895782470703,-2.346932888031006,width|bf|len|lustre
tabicl,102,website_phishing,mitra,1,79,6.278467655181885,3.012453556060791,0.5201928684661637,4,4,0,-212.25929260253906,-154.2167067527771,web_traffic|URL_of_Anchor|SSLfinal_State|popUpWidnow
tabicl,102,Amazon_employee_access,tabpfn,2,125,9.273015022277832,0.0,1.0,4,4,0,-19.10233497619629,-22.54951000213623,ROLE_ROLLUP_2|ROLE_FAMILY|ROLE_TITLE|ROLE_ROLLUP_1
