dataset,model_a,model_b,dim_a,dim_b,cka_score,mean_cosine_sim,procrustes_distance
tabarena_heloc,hyperfast,tabpfn,784,192,0.22302445434661589,-0.2215268462896347,1.002856969833374
tabarena_hiva_agnostic,hyperfast,tabpfn,784,192,0.29426393670748197,-0.0010460379999130964,0.9497584700584412
tabarena_houses,hyperfast,tabpfn,784,192,0.2510296571319433,0.18013674020767212,1.0406368970870972
tabarena_in_vehicle_coupon_recommendation,hyperfast,tabpfn,784,192,0.03508731328825877,0.07903756946325302,1.2461069822311401
tabarena_jm1,hyperfast,tabpfn,784,192,0.15811879670498355,-0.1562355011701584,1.0933971405029297
tabarena_kddcup09_appetency,hyperfast,tabpfn,784,192,0.2981366202996907,-0.1412068009376526,1.0212310552597046
tabarena_maternal_health_risk,hyperfast,tabpfn,784,192,0.13250405919194364,0.13421154022216797,1.1408482789993286
tabarena_miami_housing,hyperfast,tabpfn,784,192,0.3228992707207165,-0.15468887984752655,0.9154195189476013
tabarena_online_shoppers_intention,hyperfast,tabpfn,784,192,0.207324230077924,0.22830280661582947,1.06377375125885
tabarena_physiochemical_protein,hyperfast,tabpfn,784,192,0.16792542290385054,-0.033870257437229156,1.1303160190582275
tabarena_polish_companies_bankruptcy,hyperfast,tabpfn,784,192,0.2572611139045434,-0.23951543867588043,1.052451491355896
tabarena_qsar-biodeg,hyperfast,tabpfn,784,192,0.3208388656223511,-0.2723647356033325,0.9288236498832703
tabarena_seismic-bumps,hyperfast,tabpfn,784,192,0.13216519644998684,0.23814815282821655,1.1292641162872314
tabarena_splice,hyperfast,tabpfn,784,192,0.32268235258792904,-0.1400628536939621,0.967570960521698
tabarena_students_dropout_and_academic_success,hyperfast,tabpfn,784,192,0.1015256121271034,0.1499945968389511,1.1076356172561646
tabarena_superconductivity,hyperfast,tabpfn,784,192,0.5962638092342143,0.41414883732795715,0.8958362340927124
tabarena_taiwanese_bankruptcy_prediction,hyperfast,tabpfn,784,192,0.0859707716542998,-0.06832294166088104,1.1638803482055664
tabarena_website_phishing,hyperfast,tabpfn,784,192,0.391409849711409,-0.004884782247245312,0.8679590225219727
tabarena_wine_quality,hyperfast,tabpfn,784,192,0.05491771054624493,-0.03817276656627655,1.258763074874878
tabarena_APSFailure,mitra,tabicl,512,512,0.8596219342583157,0.005946088582277298,0.4708203673362732
tabarena_Amazon_employee_access,mitra,tabicl,512,512,0.6663214465275556,0.03014499694108963,0.6591407656669617
tabarena_Another-Dataset-on-used-Fiat-500,mitra,tabicl,512,512,0.7405835382850724,-0.0480131059885025,0.8110226392745972
tabarena_Bank_Customer_Churn,mitra,tabicl,512,512,0.7310867760842743,0.016717564314603806,0.6398313641548157
tabarena_Bioresponse,mitra,tabicl,512,512,0.5707149261169178,0.032881345599889755,0.7613556385040283
tabarena_Diabetes130US,mitra,tabicl,512,512,0.6154847168708535,0.02963758446276188,0.7163395285606384
tabarena_E-CommereShippingData,mitra,tabicl,512,512,0.9771475002342099,0.022044606506824493,0.3116360008716583
tabarena_Fitness_Club,mitra,tabicl,512,512,0.7852112439172213,0.029824160039424896,0.5701540112495422
tabarena_Food_Delivery_Time,mitra,tabicl,512,512,0.4709110359653997,-0.03643214330077171,0.8659010529518127
tabarena_GiveMeSomeCredit,mitra,tabicl,512,512,0.9077315020529445,0.023192714899778366,0.4793100655078888
tabarena_HR_Analytics_Job_Change_of_Data_Scientists,mitra,tabicl,512,512,0.7070358357449045,0.032416827976703644,0.6230508685112
tabarena_Is-this-a-good-customer,mitra,tabicl,512,512,0.7717451632929521,0.02921871654689312,0.6432746648788452
tabarena_MIC,mitra,tabicl,512,512,0.8743009631042855,0.019369417801499367,0.4733189046382904
tabarena_Marketing_Campaign,mitra,tabicl,512,512,0.3965321316102272,0.020345166325569153,0.8302484750747681
tabarena_NATICUSdroid,mitra,tabicl,512,512,0.922596186867297,0.02731778845191002,0.3714047968387604
tabarena_QSAR_fish_toxicity,mitra,tabicl,512,512,0.5790144861682044,-0.013193763792514801,0.7633963823318481
tabarena_SDSS17,mitra,tabicl,512,512,0.6825533453717096,-0.006086433306336403,0.6083564758300781
tabarena_airfoil_self_noise,mitra,tabicl,512,512,0.49433865710092356,-0.026097388938069344,0.7989858388900757
tabarena_anneal,mitra,tabicl,512,512,0.45263953742349716,0.04765484482049942,0.7098112106323242
tabarena_bank-marketing,mitra,tabicl,512,512,0.6951358122950368,0.01986110396683216,0.7044899463653564
tabarena_blood-transfusion-service-center,mitra,tabicl,512,512,0.6858765352991504,0.025027090683579445,0.6489555835723877
tabarena_churn,mitra,tabicl,512,512,0.8296451199480896,0.00562261464074254,0.5119884014129639
tabarena_coil2000_insurance_policies,mitra,tabicl,512,512,0.6372015962731472,0.03169150650501251,0.7462339401245117
tabarena_concrete_compressive_strength,mitra,tabicl,512,512,0.4236174100453541,-0.03609352186322212,0.9042728543281555
tabarena_credit-g,mitra,tabicl,512,512,0.7672436188297354,0.03133126348257065,0.6241451501846313
tabarena_credit_card_clients_default,mitra,tabicl,512,512,0.5520565041115327,0.029596734791994095,0.6301239132881165
tabarena_customer_satisfaction_in_airline,mitra,tabicl,512,512,0.24716984447923984,0.02038036659359932,0.9047148823738098
tabarena_diabetes,mitra,tabicl,512,512,0.5792369467368278,0.03561814874410629,0.6826633810997009
tabarena_diamonds,mitra,tabicl,512,512,0.7449044412533873,-0.04611686244606972,0.766707181930542
tabarena_hazelnut-spread-contaminant-detection,mitra,tabicl,512,512,0.7247727678410689,0.020882420241832733,0.5943293571472168
tabarena_healthcare_insurance_expenses,mitra,tabicl,512,512,0.2624440173562105,-0.043400656431913376,0.9958103895187378
tabarena_heloc,mitra,tabicl,512,512,0.440978152411953,0.037070710211992264,0.7199342250823975
tabarena_hiva_agnostic,mitra,tabicl,512,512,0.8176180537902269,0.007905839011073112,0.785346269607544
tabarena_houses,mitra,tabicl,512,512,0.7733728974837445,-0.009714321233332157,0.644317626953125
tabarena_in_vehicle_coupon_recommendation,mitra,tabicl,512,512,0.47519846573410524,0.02930874191224575,0.7789707779884338
tabarena_jm1,mitra,tabicl,512,512,0.8563561383794953,0.02734614536166191,0.47496697306632996
tabarena_kddcup09_appetency,mitra,tabicl,512,512,0.8096889475603237,0.031231239438056946,0.6636348962783813
tabarena_maternal_health_risk,mitra,tabicl,512,512,0.3744440922109431,-0.006928160320967436,0.8287820816040039
tabarena_miami_housing,mitra,tabicl,512,512,0.5791026128986371,-0.06488551944494247,0.7804301977157593
tabarena_online_shoppers_intention,mitra,tabicl,512,512,0.957783355974881,0.017572129145264626,0.3675386309623718
tabarena_physiochemical_protein,mitra,tabicl,512,512,0.7615393964903964,-0.017161469906568527,0.6498530507087708
tabarena_polish_companies_bankruptcy,mitra,tabicl,512,512,0.7970442749503488,0.02167026698589325,0.520524263381958
